Gene,1,2,3,4,5,6,7,8,9,10,11,12
RPL22L1,0.00167399996559905,0.00599977492724506,0.00350129256665767,0.000970323199769754,0.00384950974779957,0.00567958653504844,0.00114848950999669,0.0018115540430537,2.89600077709105e-16,0.00175804963211096,0.000911772323603073,0.00117817434050513
HES1,0.000488616240124767,2.97653064131901e-20,0.000623918152681732,7.36356160647029e-18,0.00022564315336812,0.00139203252566978,0.00160699857414976,0.00408540256283493,0.00526282932839734,0.0035972070231047,0.000827935489185656,5.3344841992167e-31
ATP5ME,0.00335229555910055,0.00354003468827672,0.00206450934856549,0.00256428388228445,0.00337891632812756,0.00546614195373281,0.00276145215600231,1.2961722282871e-259,3.65961586090527e-60,0,0,3.65689407445395e-22
MXD4,0.00315288264297364,0.00192317610041348,0.000790784937558925,0.00240437145999057,0.0034806278833598,0.00310008805748999,0.00318147019291519,0.00252864112523396,6.17317117676902e-05,0.000575149978399384,1.07267298168245e-13,0.000807157438419577
CYTL1,1.90649774102741e-162,3.67971936640863e-169,4.65628331099287e-59,2.15571780465651e-79,1.28597547584575e-146,6.22668899642766e-96,3.95490566035908e-252,1.09409675702455e-36,0.00176473775766956,5.19664930039201e-40,0.00791606002778226,0.00304141320560618
UCHL1,0.00368209363192567,0.0020812204072582,0.000473052995160747,0.00318972582719178,0.000718762698240117,0.00184753498389908,2.45288091413133e-06,0.00848565722574407,0.00385056276953994,0.00126255895408866,0.000578586960236157,0.00186580098751563
LIMCH1,0.00184855689177358,0.00163263677014314,1.72275974574717e-19,4.10560952617336e-35,0.0020223439567992,0.00020668902294428,0.00346431378955701,0.000196440551064969,0.00376895621659392,0.00090361085821453,1.39600567385581e-96,8.48701591433481e-06
PDGFRA,0.00118001303755622,1.25442616038091e-07,0.00437253055985481,0.00430474803163022,0.0010839650114534,0.000319878751350527,0.00165542321642705,1.15105823549325e-13,0.00151154860679306,7.55432250595175e-06,3.30639443898711e-104,1.93927385792222e-38
IGFBP7,0.00579070143742902,0.00691407395060007,0.00829550513680167,0.00589286063896773,0.0031618209603876,0.00430973014466226,0.00340640580918342,0.000156392556474332,0.00795958079625144,0.00399285644570404,0.00202859118845286,0.0195034651106047
SEPT11,0.00333052490845863,0.00315981677150931,0.00332520710286938,0.000743950830803676,0.00454271585801005,0.00378001706030148,0.0030000697131026,0.00359968872099335,0.00176241018745693,0.000621878397840067,9.43228661641934e-41,0.00438012504511681
CPE,4.94065645841247e-324,1.61863539076834e-216,2.52596301716575e-64,2.19190596804326e-98,5.38540983889633e-295,3.729004527087e-86,1.82103781112477e-283,0.00444224447499796,0.00446358510720084,0.00776507506384391,0.00213905036039911,9.57592927310975e-23
PALLD,0.00353007510287121,0.00181777569222867,0.0024146933812269,7.76051371991376e-08,0.00342633676086039,0.000524456018609691,0.0057808098629785,0.0020941603218614,0.00377264290442657,0.00125171258778602,0.00135853281909906,0.00482976810356543
SCRG1,0,3.82584910855468e-301,8.36104119761803e-87,7.15268540226483e-98,2.15489988448073e-158,3.75732511637056e-178,0,7.77822032861261e-22,0.00525899288135063,0.0107402555907704,0.000964731216737193,0.00351974870366692
SORBS2,0.000130718175159828,2.71861920482037e-07,4.99378290352636e-20,0.00167890807251801,0.00584535006524314,5.26251883376361e-71,0.00484494109963256,0.00137747748652926,0.00133998100604407,0.000621723683354515,0.00177616073334758,0.000580121904359614
NDUFS6,0.00287437989317811,0.00431776274477461,0.00261088396697445,0.00217580878366374,0.0025905902961723,0.00496844128484227,0.00252040310109406,0.00519443419047469,4.86443152963269e-39,4.13370649607832e-06,0.00156710208138031,0.000696196587804397
BASP1,0.00280925041351453,0.00462216600011094,0.0051555374077873,0.00318786137472492,0.00453018837349476,0.000174176119548131,0.00249272008376895,0.00497697971067149,0.0085474957153383,0.000373773642764602,1.15933559865613e-07,0.00381010636049646
NPR3,0.000614554440227235,0.000414237264431118,0.00188473491860181,2.99238442252218e-30,0.0052168819383888,3.63375958618545e-10,0.00442902084130937,5.94710289739286e-38,1.68326447101258e-60,0,3.95252516672997e-323,3.14235524494194e-06
C1QTNF3,4.01075095708962e-262,1.6364248062844e-141,2.02470823798185e-75,9.83008852018656e-82,8.31696557686102e-277,2.87316138511021e-134,4.63963426284291e-201,6.45578629258904e-63,2.20977068471022e-51,0.00827617065892576,0.00125489052150243,1.90627697783404e-46
MAP1B,0.00481507332811499,0.00296329185514492,0.00317915779912914,0.00383927928106143,0.00197009540261362,0.00287050919315784,0.00433252868173692,0.00670955308356084,2.65411345108668e-22,1.05030397425023e-177,5.64886182184436e-71,0.00498148549004483
VCAN,0.00340331757984762,0.00130759054737924,0.0074948666220752,8.03392358079995e-09,0.00356916456337905,0.000686306003317915,0.00177330410514569,0.00308046758921642,0.00914041260218094,0.00103080855525686,8.01295490964668e-165,1.00963366574538e-13
HAPLN1,0.00468205718857046,0.00412974758290052,1.0761530048689e-05,1.28340767441845e-59,0.00246512392379081,1.74873059785844e-137,6.54531735414744e-11,0.00148297104629505,4.6300431268173e-36,0.012196240567607,0.0094502636808626,9.06829319023306e-09
RHOBTB3,0.00171461386541629,0.00104466678680461,0.00324433004495124,0.00131661804697118,0.00451662847779422,0.00645898989489529,0.00302490972344898,0.00422972283358497,2.29200759767139e-08,0.00327501044512507,0.000230888383444993,3.52345483160368e-15
GLRX,0.0028983448332059,0.00312051893972237,0.000651696667054373,0.00519095272633876,0.00329226611896739,0.00559412523804299,0.00256769233324007,0.000541704820551603,1.99426937259219e-15,3.8553586103949e-209,0.000592480193300311,0.00234914270732089
NREP,0.00297658254777442,0.001695488834513,2.80171627058581e-07,2.46761364909157e-34,0.00144604086021385,7.38704617633193e-45,0.000947297945227943,0.00540464798680396,0.00433801075520844,0.00250404909285588,3.94536262965364e-57,0.00198092255091063
LOX,0.00708221206743431,0.00107588988317865,8.86532509772528e-06,0.00498971567718494,0.00330195030503246,1.91301756309926e-17,0.00416476217889505,1.28785310521491e-57,0.00085495273030528,0.00165567383813314,0.00211247642863378,0.00455136787850917
TGFBI,0.00597674050997395,0.00341148204600274,0.00615070649726543,0.00785085449505624,0.00727803505963156,0.00168455411173735,5.9762802654211e-22,1.53591811263187e-47,0.000251670331010472,5.30072616107554e-110,0.00132416314259516,0.0109088845047911
SPOCK1,0.00373777036346625,0.000698281319091441,0.00164925106587724,0.00466138130124051,0.00207327751918463,0.00153519343884813,0.000249213686302009,1.40184777872456e-118,7.91813127444501e-44,0,3.5161765217877e-88,0.00108602434050204
EGR1,0.000406626960118779,2.76728603922967e-17,0.000954604849271809,1.73228431354282e-06,0.00241967713836168,0.00133151240358883,0.00182795021219023,3.64366587641537e-05,0.00847551829605166,0.00349305481609346,0.00163141062608231,2.18063212914377e-29
PDGFRB,0.000613245984627627,1.41110798339102e-14,0.00395188749703687,0.00444773045229996,0.00307833948219579,0.00066032576788566,0.00196024427451158,0.000278740240991146,0.000896557596902348,4.73344992785971e-26,5.42218497322014e-86,3.80801702568516e-14
SPARC,0.00671134321894092,0.00206074490742651,0.00519106379390438,0.006016017069757,0.00514125155103866,0.00610618968052057,0.00477118964165469,0.00651741694738723,0.00726939609306189,0.0118843810667017,0.00819439612582664,0.0105758652135747
ATOX1,0.00417425657761418,0.00262247560236208,0.00190921688491748,0.00319534211225341,0.0038639279239729,0.00544046075398815,0.00287952247660772,0.00455448560101871,1.78859882487753e-44,0.000405381232482621,0.000824915913872857,0.00101583024264693
DUSP1,0.00231974943578705,0.00288619750858207,0.0014467521996704,0.00226963140322792,0.00446679593979938,0.00333423194307796,0.00473203286426363,5.37306038410934e-08,0.00980655697784436,0.00512109129094566,0.00256138497149756,8.49921092188835e-07
STC2,0.00432024886920817,0.00314275803978448,1.14496011033006e-05,0.00215420509846141,0.00722974194122332,7.47358344162448e-22,0.00193281263692664,2.31788121854517e-51,1.0904555840971e-16,1.90051224188936e-142,0.000873591368724871,0.00413637529721358
SQSTM1,0.00359258325826907,0.000994189217626602,0.00216682680811774,0.00705461457920211,0.00199162379875251,0.00546731548547787,0.00186998950198315,0.00188129083468106,0.00313450708677878,0.00123564425794172,0.00719252653455951,0.00020183646401017
RACK1,0.00448523187443177,0.00626643463790881,0.00563024467412717,0.00493253629590041,0.0057708634836566,0.00918931292957003,0.0042958922627444,2.33085422479326e-271,4.58530882565415e-61,0,0,4.87780578608444e-23
TUBB2A,0.00158417879598499,0.00342873818703361,0.000339877005548972,4.59379514715814e-56,1.2797166517271e-26,0.00108934411177848,0.00227342404796181,0.00230203523516915,4.93755658847904e-52,0.0031656555280808,0.00211884878937578,0.00206950817423173
ID4,2.90886542990262e-29,7.3134055611123e-20,0.000219843083910903,8.13619163380127e-79,0.00147147088766048,0.00437284598605592,4.99071072221639e-32,0.00464823379985879,0.00270748459105524,0.00517156487201585,1.97631433084656e-11,0.00169794982000865
